Title,Additional Authors,ISBN,My Rating,Publisher,Binding,Year Published,Date Read,Date Added,Bookshelves,My Review,Author,Owned,Favorite,Wishlist,Plan To Read,Currently Reading,Read,ASIN,Shelfari Edition Id,Shelfari Book Id,Condition,Original Purchase Date,Purchase Price,Private Notes,Loaned,Loaned To,Loaned On,Loan Due,Shelfari Date Read,Is Private
Cesar's Way,"Millan, Cesar; Melissa Jo Peltier",0307337332,0,,Hardcover,2006,01010001,04122011,,,"Cesar Millan, Melissa Jo Peltier",False,False,False,False,False,True,0307337332,10013,10013,,01010001,0,,False,False,,01010001,01010001,,False
The Long Tail,"Anderson, Chris",1401302378,3,,Hardcover,2006,01010001,22022012,,,Chris Anderson,False,False,False,False,False,True,1401302378,10016,10016,,01010001,0,,False,False,,01010001,01010001,,False
Blink,"Gladwell, Malcolm",0316172324,0,,Hardcover,2005,01010001,03122011,,,Malcolm Gladwell,False,False,False,False,False,True,0316172324,10022,10022,,01010001,0,,False,False,,01010001,01010001,,False
Ultrametabolism: The Simple Plan for Automatic Weight Loss,"Hyman, Mark",0743272552,0,,Hardcover,2006,01010001,04122011,,,Mark Hyman,False,False,False,False,False,True,0743272552,10030,10030,,01010001,0,,False,False,,01010001,01010001,,False
Getting Things Done,"Allen, David",0142000280,5,,Paperback,2002,12052012,04122011,,Holds up remarkably well after a decade. ,David Allen,False,False,False,False,False,True,0142000280,10034,10034,,01010001,0,,False,False,,01010001,01010001,5/12/2012,False
Harry Potter and the Half-Blood Prince,"Rowling, J. K.",0747581088,0,,Hardcover,2005,01010001,03122011,,,J. K. Rowling,False,False,False,False,False,True,0747581088,10035,10035,,01010001,0,,False,False,,01010001,01010001,,False
Ask and It Is Given,"Hicks, Esther; Jerry Hicks",1401904599,0,,Paperback,2004,01010001,03122011,,,"Esther Hicks, Jerry Hicks",True,False,False,False,False,True,1401904599,10072,10072,,01010001,0,,False,False,,01010001,01010001,,False
"Harrington on Hold 'em: Expert Strategies for No Limit Tournaments, Vol.  III--The Workbook (Harrington on Hold'em)","Harrington, Dan; Bill Robertie",1880685361,0,,Paperback,2006,01010001,03122011,,,"Dan Harrington, Bill Robertie",True,False,False,False,False,True,1880685361,10077,10077,,01010001,0,,False,False,,01010001,01010001,,False
The 48 Laws of Power,"Greene, Robert",0140280197,4,,Paperback,2000,08012015,03122011,"psychology,business,leadership,strategy,power",,Robert Greene,False,False,False,False,False,True,0140280197,10083,10083,,01010001,0,,False,False,,01010001,01010001,1/8/2015,False
The Iliad / The Odyssey,Homer,076071679X,0,,Leather Bound,1999,01010001,03122011,,,and Samuel Butler (transl) Homer,False,False,False,False,False,True,076071679X,10276,6046325,,01010001,0,,False,False,,01010001,01010001,,False
The Screwtape Letters,"Lewis, C. S.",0006280609,0,,Paperback,2005,01010001,03122011,,,C. S. Lewis,False,False,False,False,False,True,0006280609,10293,10288,,01010001,0,,False,False,,01010001,01010001,,False
Animal Farm,"Orwell, George",1595404295,0,,Paperback,2004,01010001,03122011,,,George Orwell,False,False,False,False,False,True,1595404295,10310,10305,,01010001,0,,False,False,,01010001,01010001,,False
Brave New World,"Huxley, Aldous",0060929871,0,,Paperback,1998,01010001,03122011,,,Aldous Huxley,False,False,False,False,False,True,0060929871,10311,10306,,01010001,0,,False,False,,01010001,01010001,,False
How the Scots Invented the Modern World,"Herman, Arthur",0609809997,0,,Paperback,2002,01010001,03122011,,,Arthur Herman,False,False,False,True,False,False,0609809997,10391,8203600,,01010001,0,,False,False,,01010001,01010001,,False
Congo,"Crichton, Michael",0060541830,0,,Mass Market Paperback,2003,01010001,03122011,,,Michael Crichton,False,False,False,False,False,True,0060541830,10409,10400,,01010001,0,,False,False,,01010001,01010001,,False
The Hobbit,"Tolkien, J. R. R.",0618260307,4,,Paperback,2002,19102012,03122011,"fantasy,wizards,adventure,classic,j.r.r. tolkien,lord of the rings,tolkien,middle earth",,J.R.R. Tolkien,False,False,False,False,False,True,0618260307,10476,10466,,01010001,0,,False,False,,01010001,01010001,10/19/2012,False
Where the Wild Things Are,"Sendak, Maurice; Maurice Sendak",0060254920,0,,Hardcover,2012,01010001,03122011,,,Maurice Sendak,False,False,False,False,False,True,0060254920,10878,48707,,01010001,0,,False,False,,01010001,01010001,,False
Bringing Down the House,"Mezrich, Ben",0743249992,0,,Paperback,2003,01010001,23122011,,,Ben Mezrich,False,False,False,False,False,True,0743249992,10896,10876,,01010001,0,,False,False,,01010001,01010001,,False
Generation X,"Coupland, Douglas",031205436X,4,,Paperback,1991,01010001,06052012,,,Douglas Coupland,False,False,False,False,False,True,031205436X,10903,10883,,01010001,0,,False,False,,01010001,01010001,,False
Microserfs,"Coupland, Douglas",0060987049,3,,Paperback,1996,01010001,06052012,,,Douglas Coupland,False,False,False,False,False,True,0060987049,10907,10887,,01010001,0,,False,False,,01010001,01010001,,False
A Short History of Nearly Everything,"Bryson, Bill",076790818X,0,,Paperback,2004,01010001,03122011,,,Bill Bryson,False,False,False,True,False,False,076790818X,11038,11002,,01010001,0,,False,False,,01010001,01010001,,False
The Wisdom of Crowds,"Surowiecki, James",0385721706,4,,Paperback,2005,20072012,16072012,"economics,decision making,collective intelligence",,James Surowiecki,False,False,False,False,False,True,0385721706,11087,11048,,01010001,0,,False,False,,01010001,01010001,7/20/2012,False
Ender's Game,"Card, Orson Scott",0765342294,0,,Paperback,2002,01010001,03122011,,,Orson Scott Card,False,False,False,False,False,True,0765342294,11131,35825,,01010001,0,,False,False,,01010001,01010001,,False
Speaker for the Dead,"Card, Orson Scott",0812550757,0,,Mass Market Paperback,1994,01010001,03122011,,,Orson Scott Card,False,False,False,False,False,True,0812550757,11132,11083,,01010001,0,,False,False,,01010001,01010001,,False
Children of the Mind,"Card, Orson Scott",0765304740,0,,Paperback,2002,01010001,03122011,,,Orson Scott Card,False,False,False,False,False,True,0765304740,11133,11084,,01010001,0,,False,False,,01010001,01010001,,False
Xenocide,"Card, Orson Scott",0312861877,0,,Paperback,1996,01010001,03122011,,,Orson Scott Card,False,False,False,False,False,True,0312861877,11134,11085,,01010001,0,,False,False,,01010001,01010001,,False
